epoch,phase,loss,train_accuracy,validation_accuracy
1,PHASE 1,1.874029668996919,0.42328199052132703,0.6890547263681592
2,PHASE 1,1.4735496449020673,0.5731635071090048,0.6990049751243781
3,PHASE 1,1.278232676240633,0.6347748815165877,0.7213930348258707
4,PHASE 1,1.2065958993614845,0.6578791469194313,0.7189054726368159
5,PHASE 1,1.1722248213471107,0.6646919431279621,0.7313432835820896
6,PHASE 2,1.129296122294552,0.6700236966824644,0.736318407960199
7,PHASE 2,1.0991194765522796,0.6729857819905213,0.7487562189054726
8,PHASE 2,1.0352042812221456,0.6946090047393365,0.7587064676616916
9,PHASE 2,1.0026139347058423,0.7034952606635071,0.753731343283582
10,PHASE 2,0.9519213539249493,0.7212677725118484,0.753731343283582
11,PHASE 2,0.9262350741422402,0.7165284360189573,0.7736318407960199
12,PHASE 2,0.9178001042806877,0.7165284360189573,0.7810945273631841
13,PHASE 2,0.8981971189660846,0.7277843601895735,0.7835820895522388
14,PHASE 2,0.8502398032062458,0.7363744075829384,0.7935323383084577
15,PHASE 2,0.8705357307533048,0.7340047393364929,0.7885572139303483
16,PHASE 2,0.874951959218619,0.7325236966824644,0.7885572139303483
17,PHASE 2,0.8455835901341349,0.735781990521327,0.7860696517412935
18,PHASE 2,0.8183544559298821,0.7511848341232228,0.7960199004975125
19,PHASE 2,0.8242458183810396,0.7479265402843602,0.7960199004975125
20,PHASE 2,0.8206046330478957,0.7464454976303317,0.7935323383084577
21,PHASE 2,0.8119442429182664,0.746149289099526,0.8034825870646766
22,PHASE 2,0.8062457790914571,0.7520734597156398,0.8009950248756219
23,PHASE 2,0.8184666043182589,0.7422985781990521,0.8084577114427861
24,PHASE 2,0.8077320054454623,0.7541469194312796,0.7960199004975125
25,PHASE 2,0.8033381306900168,0.7434834123222749,0.8109452736318408
26,PHASE 2,0.7935332270725718,0.7488151658767772,0.8059701492537313
27,PHASE 2,0.798356590968258,0.7574052132701422,0.7985074626865671
28,PHASE 2,0.7936708311427314,0.7582938388625592,0.7935323383084577
29,PHASE 2,0.794226662730271,0.7517772511848341,0.8134328358208955
30,PHASE 2,0.7884156299087236,0.7603672985781991,0.8084577114427861
